epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.381,0.99065,2.44739,0.92699,0.00333,1,0.00777,0.00498,0.88838,3.75845,0.87049,0.000647619,0.000647619,0.000647619
2,208.238,0.96439,1.28225,0.90986,0.70189,0.05267,0.25666,0.13024,0.81678,3.13298,0.86119,0.00127091,0.00127091,0.00127091
3,311.256,0.89729,1.11202,0.89429,0.84259,0.95652,0.95029,0.74771,0.84857,1.73229,0.87783,0.00185021,0.00185021,0.00185021
4,414.395,0.82437,0.90392,0.88888,1,0.99562,0.995,0.78083,0.86836,0.94129,0.88573,0.001802,0.001802,0.001802
5,516.907,0.77061,0.78603,0.88141,0.99766,1,0.995,0.74415,0.87443,0.74936,0.89573,0.001736,0.001736,0.001736
6,619.091,0.76568,0.66964,0.87262,0.99844,1,0.995,0.78743,0.80299,0.64257,0.88318,0.00167,0.00167,0.00167
7,722.379,0.73804,0.60288,0.86894,0.99833,1,0.995,0.78229,0.7596,0.59265,0.86611,0.001604,0.001604,0.001604
8,825.684,0.73761,0.56086,0.85834,0.99869,1,0.995,0.77069,0.84262,0.5356,0.88124,0.001538,0.001538,0.001538
9,927.732,0.72257,0.53111,0.85769,0.97634,1,0.97383,0.75713,0.78747,0.49978,0.86906,0.001472,0.001472,0.001472
10,1031.27,0.7073,0.49256,0.84928,0.88114,1,0.89068,0.69579,0.77715,0.55032,0.87364,0.001406,0.001406,0.001406
11,1133.91,0.69745,0.47908,0.84823,0.99861,1,0.995,0.80514,0.7191,0.45535,0.8584,0.00134,0.00134,0.00134
12,1239.13,0.68445,0.4707,0.84927,0.99866,1,0.995,0.78812,0.82647,0.44231,0.87423,0.001274,0.001274,0.001274
13,1344.87,0.69097,0.44302,0.84432,0.9987,1,0.995,0.80341,0.72597,0.41832,0.85907,0.001208,0.001208,0.001208
14,1451.44,0.66594,0.4355,0.83574,0.99865,1,0.995,0.80854,0.72535,0.41532,0.85448,0.001142,0.001142,0.001142
15,1558.8,0.6327,0.41556,0.82848,0.99867,1,0.995,0.80192,0.76521,0.43458,0.86475,0.001076,0.001076,0.001076
16,1666.08,0.61121,0.40422,0.83299,0.9987,1,0.995,0.78606,0.74027,0.40772,0.85884,0.00101,0.00101,0.00101
17,1773.16,0.64277,0.40924,0.83794,0.9987,1,0.995,0.82451,0.72712,0.38454,0.86031,0.000944,0.000944,0.000944
18,1879.85,0.59892,0.37282,0.818,0.99843,1,0.995,0.82168,0.70372,0.36832,0.85844,0.000878,0.000878,0.000878
19,1987.18,0.58693,0.36816,0.82503,0.99878,1,0.995,0.84017,0.68543,0.35903,0.84915,0.000812,0.000812,0.000812
20,2093.58,0.56238,0.36222,0.81954,0.99862,1,0.995,0.81539,0.73637,0.37434,0.86017,0.000746,0.000746,0.000746
21,2199.4,0.58354,0.39402,0.82758,0.9973,1,0.995,0.79312,0.80653,0.3898,0.87656,0.00068,0.00068,0.00068
22,2305.08,0.55443,0.36841,0.81081,0.99849,1,0.995,0.82493,0.73421,0.37175,0.8623,0.000614,0.000614,0.000614
23,2411.89,0.5482,0.35869,0.83546,0.99858,1,0.995,0.81318,0.73418,0.3876,0.86671,0.000548,0.000548,0.000548
24,2517.3,0.53685,0.34912,0.81035,0.99875,1,0.995,0.81374,0.7279,0.36262,0.86295,0.000482,0.000482,0.000482
25,2623.28,0.52361,0.33589,0.8097,0.99873,1,0.995,0.809,0.73364,0.36188,0.85733,0.000416,0.000416,0.000416
26,2728.51,0.51996,0.33009,0.80629,0.99854,1,0.995,0.82392,0.71387,0.34592,0.85367,0.00035,0.00035,0.00035
27,2833.36,0.50965,0.32292,0.81628,0.99803,1,0.995,0.82494,0.69769,0.34202,0.85708,0.000284,0.000284,0.000284
28,2939.36,0.50675,0.31667,0.80862,0.99839,1,0.995,0.82519,0.70316,0.33271,0.85302,0.000218,0.000218,0.000218
29,3043.71,0.47737,0.30965,0.79296,0.99874,1,0.995,0.84345,0.68644,0.33002,0.85433,0.000152,0.000152,0.000152
30,3146.24,0.46785,0.30141,0.79764,0.99876,1,0.995,0.82608,0.71138,0.32005,0.85374,8.6e-05,8.6e-05,8.6e-05
